video_id,channel,publish_date,title,thumbnail_url,views,likes,comments,image_path
kIT4Aw2NVBY,Eric Michaud,2026-03-30T22:12:18Z,Claude Code + OpenRouter = Any Model (No Config Setup),https://i.ytimg.com/vi/kIT4Aw2NVBY/hqdefault.jpg,1856,57.0,25.0,data/raw/images/kIT4Aw2NVBY.jpg
zIdv2NDRExI,CyberFlow,2025-05-16T14:59:27Z,The Best Way to Learn Linux,https://i.ytimg.com/vi/zIdv2NDRExI/hqdefault.jpg,1516697,100034.0,2444.0,data/raw/images/zIdv2NDRExI.jpg
C8IXWkc3vNI,MR Feastables,2026-03-08T23:09:06Z,Spring 2026 Fashion Forecast: The Ultimate Guide to Defining Outfit Trends,https://i.ytimg.com/vi/C8IXWkc3vNI/hqdefault.jpg,77,0.0,0.0,data/raw/images/C8IXWkc3vNI.jpg
kbZC-aemB68,Marpipe,2025-12-24T18:00:59Z,2026 Trend Predictions: Fashion,https://i.ytimg.com/vi/kbZC-aemB68/hqdefault.jpg,18052,263.0,1.0,data/raw/images/kbZC-aemB68.jpg
b_SyyB_lBCo,Pari,2026-03-31T19:51:14Z,Late night study with me #study #wholenightstudy #aesthetic #studymotivation #studyismylife,https://i.ytimg.com/vi/b_SyyB_lBCo/hqdefault.jpg,2483,57.0,6.0,data/raw/images/b_SyyB_lBCo.jpg
_GBK9IHGqPk,Rishika Unfiltered,2026-03-31T15:33:57Z,Unboxing Aesthetic Pinteresty Notebooks #trending #booktok #trending #booktubetbr #fashiontrends,https://i.ytimg.com/vi/_GBK9IHGqPk/hqdefault.jpg,1302,24.0,3.0,data/raw/images/_GBK9IHGqPk.jpg
3EbFxN06lDI,Mish core,2026-04-01T16:04:06Z,study with me🩶 #study,https://i.ytimg.com/vi/3EbFxN06lDI/hqdefault.jpg,170,3.0,0.0,data/raw/images/3EbFxN06lDI.jpg
iLBGqDyRiiY,Smart career  competitive classes ,2026-04-01T02:06:06Z,"CODING & DECODING FROM BASIC- TO -ADVANCED FOR UP POLICE, UPP, UPSI, Railway, SSC, ARMY, AGANIVEER.",https://i.ytimg.com/vi/iLBGqDyRiiY/hqdefault.jpg,19,7.0,9.0,data/raw/images/iLBGqDyRiiY.jpg
G2ZlAMDyRRY,Aesthetic Outlet,2025-07-09T12:45:03Z,Journal ideas for you! 🤍🌼 #shorts #aesthetic #journal #subscribe #fyp #art #diy #trending #ytshort,https://i.ytimg.com/vi/G2ZlAMDyRRY/hqdefault.jpg,171175,,31.0,data/raw/images/G2ZlAMDyRRY.jpg
0ZSI8062_C4,CreativeCrafts360,2026-04-01T17:05:57Z,Aesthetic and Cute Notebook Front Page 🎀✨️🎶 #notebookideas #titleart #shortvideo,https://i.ytimg.com/vi/0ZSI8062_C4/hqdefault.jpg,139,4.0,0.0,data/raw/images/0ZSI8062_C4.jpg
ofujX3gpTKw,Bianca J Camacho,2025-08-23T19:30:45Z,what overconsumption looks like #underconsumption #underconsumptioncore #dayinmylife #fyp,https://i.ytimg.com/vi/ofujX3gpTKw/hqdefault.jpg,43508,495.0,12.0,data/raw/images/ofujX3gpTKw.jpg
-veNidDqCpo,thamslifestyle,2026-02-17T13:00:00Z,pov: you actually use your makeup 💄,https://i.ytimg.com/vi/-veNidDqCpo/hqdefault.jpg,7038,97.0,8.0,data/raw/images/-veNidDqCpo.jpg
_g6U-8tsO5Y,Justshine.12 ,2025-06-20T02:57:03Z,Stationery Haul from Flipkart🦋✨ #shorts #stationery #flipkart #unboxing,https://i.ytimg.com/vi/_g6U-8tsO5Y/hqdefault.jpg,821313,16437.0,132.0,data/raw/images/_g6U-8tsO5Y.jpg
JvLhIKBSCkk,Dewi Mar'atus Sholikhah,2026-03-31T04:17:34Z,notebook aesthetic cek produk di deskripsi‼️ #shorts #shortsvideo #shortsviral #shorrsfeed #notebook,https://i.ytimg.com/vi/JvLhIKBSCkk/hqdefault.jpg,921,4.0,0.0,data/raw/images/JvLhIKBSCkk.jpg
UkWyUHgVrYc,Valentina Roldan,2026-01-25T21:52:11Z,Hay que usar las cosas #mentalidad #underconsumption #underconsumptioncore,https://i.ytimg.com/vi/UkWyUHgVrYc/hqdefault.jpg,2861,21.0,0.0,data/raw/images/UkWyUHgVrYc.jpg
