feature,transformation,difference
edge_density,blur,0.06506944444444446
blur,blur,2253.598493410815
corner_count,blur,29.0
contrast,blur,2.3174499315154122
keypoint_count,blur,1474.0
colorfulness,blur,0.17548384838559627
brightness,blur,0.002164351851845936
entropy,blur,0.008385658264160156
text_length,blur,0.0
text_count,blur,0.0
text_presence,blur,0.0
face_count,blur,0.0
symmetry,blur,0.007857480029048625
edge_density,noise,0.19328124999999996
blur,noise,68678.73103902768
corner_count,noise,330.0
contrast,noise,14.271119811642365
keypoint_count,noise,144.0
colorfulness,noise,0.3014835679125838
brightness,noise,76.67450231481483
entropy,noise,0.5202364921569824
text_length,noise,0.0
text_count,noise,0.0
text_presence,noise,0.0
face_count,noise,1.0
symmetry,noise,0.011777777777777776
edge_density,resize_640x360,0.013417245370370368
blur,resize_640x360,779.9795939493167
corner_count,resize_640x360,99.0
contrast,resize_640x360,0.5604560930099964
keypoint_count,resize_640x360,295.0
colorfulness,resize_640x360,0.027885825609672565
brightness,resize_640x360,0.021872106481481524
entropy,resize_640x360,1.1920928955078125e-05
text_length,resize_640x360,0.0
text_count,resize_640x360,0.0
text_presence,resize_640x360,0.0
face_count,resize_640x360,0.0
symmetry,resize_640x360,0.0020157498184459888
edge_density,resize_480x270,0.005028935185185185
blur,resize_480x270,75.20597023165192
corner_count,resize_480x270,39.0
contrast,resize_480x270,0.3835472927322243
keypoint_count,resize_480x270,665.0
colorfulness,resize_480x270,0.00034790606889600895
brightness,resize_480x270,0.03112847222222115
entropy,resize_480x270,0.008420467376708984
text_length,resize_480x270,0.0
text_count,resize_480x270,0.0
text_presence,resize_480x270,0.0
face_count,resize_480x270,0.0
symmetry,resize_480x270,0.001652399540063021
edge_density,resize_320x180,0.027060185185185187
blur,resize_320x180,552.1988369992939
corner_count,resize_320x180,151.0
contrast,resize_320x180,1.231873616641721
keypoint_count,resize_320x180,2602.0
colorfulness,resize_320x180,0.033939033852206535
brightness,resize_320x180,0.023119212962967595
entropy,resize_320x180,0.017860889434814453
text_length,resize_320x180,0.0
text_count,resize_320x180,0.0
text_presence,resize_320x180,0.0
face_count,resize_320x180,1.0
symmetry,resize_320x180,0.004729802106027692
edge_density,resize_240x135,0.043948688271604947
blur,resize_240x135,1841.1329579831975
corner_count,resize_240x135,208.0
contrast,resize_240x135,1.321147404760822
keypoint_count,resize_240x135,3476.0
colorfulness,resize_240x135,0.10219962347464673
brightness,resize_240x135,0.017463348765431874
entropy,resize_240x135,0.020189762115478516
text_length,resize_240x135,0.0
text_count,resize_240x135,0.0
text_presence,resize_240x135,0.0
face_count,resize_240x135,1.0
symmetry,resize_240x135,0.004356163761801035
edge_density,resize_160x90,0.06926504629629629
blur,resize_160x90,5495.893549272635
corner_count,resize_160x90,257.0
contrast,resize_160x90,0.06346708010541846
keypoint_count,resize_160x90,4134.0
colorfulness,resize_160x90,0.030356074680241818
brightness,resize_160x90,0.9702141203703718
entropy,resize_160x90,0.0010900497436523438
text_length,resize_160x90,0.0
text_count,resize_160x90,0.0
text_presence,resize_160x90,0.0
face_count,resize_160x90,1.0
symmetry,resize_160x90,0.0002565813362380709
edge_density,resize_426x240,0.0077499836984872145
blur,resize_426x240,200.62426029287826
corner_count,resize_426x240,76.0
contrast,resize_426x240,0.9905914315154902
keypoint_count,resize_426x240,1361.0
colorfulness,resize_426x240,0.03347560887416989
brightness,resize_426x240,0.05608967462180203
entropy,resize_426x240,0.008533477783203125
text_length,resize_426x240,0.0
text_count,resize_426x240,0.0
text_presence,resize_426x240,0.0
face_count,resize_426x240,0.0
symmetry,resize_426x240,0.0036785117933454403
edge_density,compress,0.013009259259259262
blur,compress,963.2650808617861
corner_count,compress,72.0
contrast,compress,0.38663631999403236
keypoint_count,compress,36.0
colorfulness,compress,1.0654702300593328
brightness,compress,0.2235358796296225
entropy,compress,0.00949239730834961
text_length,compress,0.0
text_count,compress,0.0
text_presence,compress,0.0
face_count,compress,0.0
symmetry,compress,0.0023041485112562654
edge_density,blur,0.0364699074074074
blur,blur,1435.5009257836612
corner_count,blur,42.0
contrast,blur,2.811308613303545
keypoint_count,blur,1052.0
colorfulness,blur,0.04420874498016758
brightness,blur,0.002939814814808983
entropy,blur,0.023109912872314453
text_length,blur,0.0
text_count,blur,0.0
text_presence,blur,0.0
face_count,blur,0.0
symmetry,blur,0.011409041394335517
edge_density,noise,0.2805960648148148
blur,noise,80202.53626682876
corner_count,noise,486.0
contrast,noise,12.911588376647522
keypoint_count,noise,272.0
colorfulness,noise,10.952454620857921
brightness,noise,89.92045138888889
entropy,noise,0.24011659622192383
text_length,noise,0.0
text_count,noise,0.0
text_presence,noise,0.0
face_count,noise,1.0
symmetry,noise,0.15658750907770513
edge_density,resize_640x360,0.011099537037037033
blur,resize_640x360,473.22630894572995
corner_count,resize_640x360,73.0
contrast,resize_640x360,0.30125375158004886
keypoint_count,resize_640x360,313.0
colorfulness,resize_640x360,0.2355092327071162
brightness,resize_640x360,0.018728298611122796
entropy,resize_640x360,0.007293224334716797
text_length,resize_640x360,0.0
text_count,resize_640x360,0.0
text_presence,resize_640x360,0.0
face_count,resize_640x360,2.0
symmetry,resize_640x360,0.0014359681372548838
edge_density,resize_480x270,0.004398148148148151
blur,resize_480x270,39.34034158998236
corner_count,resize_480x270,43.0
contrast,resize_480x270,0.1889004064330635
keypoint_count,resize_480x270,709.0
colorfulness,resize_480x270,0.2683837246530629
brightness,resize_480x270,0.011728395061737729
entropy,resize_480x270,0.002918720245361328
text_length,resize_480x270,0.0
text_count,resize_480x270,0.0
text_presence,resize_480x270,0.0
face_count,resize_480x270,1.0
symmetry,resize_480x270,0.001029442023723015
edge_density,resize_320x180,0.021452546296296296
blur,resize_320x180,310.31475497738757
corner_count,resize_320x180,158.0
contrast,resize_320x180,0.6466348855525155
keypoint_count,resize_320x180,2596.0
colorfulness,resize_320x180,0.19084558013389596
brightness,resize_320x180,0.022760416666656624
entropy,resize_320x180,0.0049304962158203125
text_length,resize_320x180,0.0
text_count,resize_320x180,0.0
text_presence,resize_320x180,0.0
face_count,resize_320x180,0.0
symmetry,resize_320x180,0.0033838507625272296
edge_density,resize_240x135,0.036311728395061735
blur,resize_240x135,976.7266372438103
corner_count,resize_240x135,213.0
contrast,resize_240x135,0.7389105771064806
keypoint_count,resize_240x135,3297.0
colorfulness,resize_240x135,0.37220088795379525
brightness,resize_240x135,0.025393518518512792
entropy,resize_240x135,0.004935741424560547
text_length,resize_240x135,0.0
text_count,resize_240x135,0.0
text_presence,resize_240x135,0.0
face_count,resize_240x135,0.0
symmetry,resize_240x135,0.0032902142338416818
edge_density,resize_160x90,0.060462962962962954
blur,resize_160x90,3256.5846756371097
corner_count,resize_160x90,258.0
contrast,resize_160x90,0.17022343647937532
keypoint_count,resize_160x90,3845.0
colorfulness,resize_160x90,0.08452020095047885
brightness,resize_160x90,0.5523611111111109
entropy,resize_160x90,0.00013399124145507812
text_length,resize_160x90,0.0
text_count,resize_160x90,0.0
text_presence,resize_160x90,0.0
face_count,resize_160x90,0.0
symmetry,resize_160x90,0.001107026143790768
edge_density,resize_426x240,0.007571726656233693
blur,resize_426x240,146.61758623448986
corner_count,resize_426x240,89.0
contrast,resize_426x240,0.5029551689063538
keypoint_count,resize_426x240,1420.0
colorfulness,resize_426x240,0.2722373939432856
brightness,resize_426x240,0.04920089984349829
entropy,resize_426x240,0.00818014144897461
text_length,resize_426x240,0.0
text_count,resize_426x240,0.0
text_presence,resize_426x240,0.0
face_count,resize_426x240,0.0
symmetry,resize_426x240,0.002248446561723294
edge_density,compress,0.012332175925925934
blur,compress,727.9279873293024
corner_count,compress,62.0
contrast,compress,0.3271070605662203
keypoint_count,compress,104.0
colorfulness,compress,1.695372617141885
brightness,compress,0.018877314814815804
entropy,compress,0.02753448486328125
text_length,compress,0.0
text_count,compress,0.0
text_presence,compress,0.0
face_count,compress,0.0
symmetry,compress,0.0016528685548293787
edge_density,blur,0.02810185185185185
blur,blur,830.0926731910153
corner_count,blur,16.0
contrast,blur,1.5063764785788436
keypoint_count,blur,1417.0
colorfulness,blur,1.1877753463617182
